sku		primary		consumer_unit_ean
403980		0		1074734806612934
403980		-1		1074734806505601
993692		0		1077044888534534
803474		0		1077040088467115
799223		0		1073339541680357
799223		0		1073339541680364
799222		0		1073339449444044
543015		0		1077042867245549
599243		0		1074745729677481
599242		0		1074745729684779
599241		0		1077046741732729
599240		0		1077046741732705
599249		0		1077044265654121
595623		0		1077044265634833
349352		0		1077044265653124
349338		0		1073337945629903
344489		0		1077044936412821
373167		-1		1077047941914816
882467		-1		1077047941914809
599958		-1		1077047941914892
599959		-1		1077047941914076
305798		-1		1074744632295089
447567		-1		1073332060545534
835747		-1		1073332060545596
267567		-1		1073332060545572
042327		-1		1073332060546685
394541		-1		1077044265654350
403874		-1		1077040741834124
599247		0		1072317222514116
599204		0		1077042707206518
599203		0		1077042707206501
310954		0		1074235415475021
301351		0		1077044265655432
304164		0		1077044265655937
303869		-1		1073334648596976
214648		-1		1077042907230283
599288		0		1077044412625301
599203		-1		1077042707506502
599204		-1		1077042707506519
304164		-1		1077044265655920
947984		-1		1079334628898391
310954		-1		1074235415475878
301350		-1		1077044265655227
301352		-1		1077044265655326
301351		-1		1077044265655425
794123		-1		1077044265655241
318245		-1		1077044265657153
403868		-1		1077044265587412
403851		-1		1079334628887517
403840		-1		1077041241785992
403849		-1		1077041241785930
403848		-1		1077041241785978
403836		-1		1077041241785855
403835		-1		1077041241785831
403832		-1		1077044938566553
403856		-1		1077044265652042
403855		-1		1077044265652028
318314		0		1077334941768793
318120		0		1077044265655395
318050		0		1077044265650147
947903		0		1077043241687634
303869		0		1076133117875317
318314		-1		1077334941739953
403802		-1		1077047241756512
403801		-1		1077047241756505
799296		-1		1073349041270736
799208		-1		1073349041161720
799295		-1		1073349041270705
799201		-1		1073349041161843
799200		-1		1073349041161881
799209		-1		1073349041161751
403803		-1		1079334621685585
390143		0		1077047655979453
297517		0		1077042172327039
296207		-1		1077758232563452
390143		0		1077042524576863
301348		-1		1077044265655524
403800		0		1077041930503043
403809		0		1077049341995211
403808		0		1087042322175784
403896		0		1086085803577906
349312		0		1077048441505931
349311		0		1077048441505078
349319		0		1077048441505849
343979		0		1077049341999165
318021		0		1076947676608534
313710		0		1077048341465687
303869		0		1076138240695696
349319		-1		1077048441505702
799232		0		1076656181236391
799231		0		1076656181219356
349354		0		1074344743797108
349353		0		1074344743797115
319158		0		1077044265635410
390143		-1		1077047655977138
799231		-1		1076656181219349
799232		-1		1076656181236384
349354		-1		1074344743683197
349353		-1		1074344743683104
319158		-1		1077044265635403
799230		0		1084935858699226
584038		0		1077044888533728
599254		0		1077044736598893
599253		0		1077044736598626
599252		0		1077044736598657
599251		0		1077044736598343
599250		0		1077044736598640
599259		0		1077044736598909
599258		0		1077044736598725
599246		0		1077044736598688
599245		0		1077044736597568
599244		0		1077044736598695
599778		0		1077044888533773
597344		0		1077044888531311
597725		0		1077044888533797
597724		0		1077044888533704
403998		0		1076956851711617
403985		0		1076956851863200
803849		0		1077042637684721
803847		0		1077042637684639
803836		0		1077042637695178
599211		0		1077041523577901
599210		0		1077047141797677
313440		0		1077044265654442
205357		0		1077044713575718
403860		0		1077044173917837
403869		0		1077044173917868
184367		0		1024322373575353
599219		0		1071502961575675
599218		-1		1071502951575675
599219		-1		1077040912532392
599218		0		1079334641971406
799221		0		1077046102118674
799220		0		1077046102129243
799229		0		1077046102125467
799228		0		1077046102185683
799216		0		1077044193089415
799215		0		1079834000513473
799214		0		1084748554575936
799213		0		1084748554575035
349382		0		1079334641721570
319556		0		1077044265646287
300436		0		1077044173917646
543869		0		1077044834521502
799228		-1		1077046102185003
799215		-1		1074334988513472
799229		-1		1077046102127010
799220		-1		1077046102120691
799221		-1		1077046102118803
799214		-1		1074748554575939
799213		-1		1074748554575038
799216		-1		1077044193871508
319152		-1		1077044265654299
396502		-1		1077044265654275
798351		0		1077044193864357
797301		0		1077044294676460
797309		0		1077044294679157
403753		0		1076947676577359
349382		0		1077046064505109
303142		0		1077047655807657
297457		0		1077047655522246
743620		0		1076036659839208
743620		0		1076036659839222
743629		0		1076036659827595
743544		0		1076036659831899
743543		0		1076036659831790
799218		0		1077046102268119
799206		0		1077046102268263
799205		0		1077046102268041
799204		0		1077046102268331
799203		0		1084744742595632
799202		0		1077046102268829
403984		0		1076956851848696
403983		0		1076956851973572
403982		0		1076956851996151
225737		0		1077046741726346
599258		-1		1077044736598398
599250		-1		1077044736598213
599246		-1		1077044736598169
599245		-1		1077044736598145
599244		-1		1077044736598275
394131		0		1077041315738671
399628		-1		1077049458579335
390125		0		1077042524576085
303142		-1		1077042477745682
296337		0		1077040766850178
794345		0		1076036659844066
794613		0		1077049241701127
794612		0		1077049241701103
793976		0		1077049241701974
403868		0		1077044265587429
403856		0		1077044265652059
403855		0		1077044265652035
403852		0		1073348041584133
403851		0		1077044176781619
403850		0		1076947675149328
403859		0		1077827434219068
403858		0		1072134661910015
403846		0		1074334790942217
403845		0		1074334790955408
403844		0		1074334790946574
403843		0		1074334790946161
403842		0		1074334790834789
403841		0		1074334790955873
403840		0		1077041241785909
403849		0		1077041241785947
403848		0		1077041241785985
403836		0		1077041241785862
403835		0		1077041241785848
403834		0		1087044073866508
403833		0		1087044073856509
403832		0		1087044938566550
599206		-1		1077044265650369
599205		-1		1077044265650482
799219		-1		1077046102343472
799210		-1		1077046102343533
794316		-1		1077044265653353
947918		-1		1079334628899756
947919		0		1079334628899626
947906		-1		1079334628898759
947905		-1		1079334628898254
947996		-1		1079334628898872
947903		-1		1079334628898360
947904		-1		1079334628898308
947928		-1		1079334628899640
947929		-1		1077044792058928
947911		-1		1079334628899732
947910		-1		1079334628899725
947912		-1		1079334628897301
947915		-1		1079334628899664
947916		-1		1079334628899770
403860		-1		1077044173917844
403861		-1		1077044173917813
403869		-1		1077044173917974
947901		0		1077043241686804
947900		0		1077043241686811
947909		0		1077043241686897
947995		0		1077043241687771
947994		0		1077043241687894
947993		0		1077043241687610
947992		0		1077043241687788
947991		0		1077043241686552
947999		0		1077043241687023
947998		0		1077043241687627
794143		0		1077045641816850
794142		0		1077045641816003
794141		0		1077045641816942
794149		0		1077045641816768
794148		0		1077045641816614
391820		0		1077044265617836
947908		-1		1079334628890203
947909		-1		1079334628898032
947900		-1		1079334628898056
947901		-1		1079334628898049
947993		-1		1079334628898346
947998		-1		1079334628898353
947999		-1		1079334628898568
947995		-1		1079334628898407
947994		-1		1079334628898438
947991		-1		1079334628898315
947992		-1		1079334628898414
794327		-1		1077044265653339
398271		0		1077048350592770
303503		0		1077049936638967
307918		0		1077044265669613
343858		0		1077044936412623
343859		0		1077044936412647
343850		0		1077044936412807
343851		0		1077044936412661
799249		-1		1073318141156998
799236		-1		1072383584597289
799248		-1		1073318141156868
599278		-1		1074745729684359
296337		-1		1077760642749890
349838		0		1077044936412883
349839		0		1077044936412760
349131		0		1077044936412722
403999		0		1077044939076204
403990		0		1077044939076297
599278		0		1074745729684366
799236		0		1072383584597296
799200		0		1073349041161874
799201		0		1073349041161836
403813		-1		1077048341461702
403812		-1		1077048341461726
403811		-1		1077048341461740
403815		-1		1077048341461689
403814		-1		1077048341461627
403828		-1		1077048341461603
403816		-1		1077048341460569
403829		-1		1077048341460002
403821		-1		1077048341460040
