	own_sku	ean_list	content	content_unit	description	temperature_zone	shelf_life	volume_mm3	brutto_weight	brutto_weight_unit
2087	oAz8Y	{1074334749594634, 1077044939581784, 1077044939636682, 1074334749597307, 1074334749597390}	1074334749594634	0071 Broodvervangers	CHEESE	ambient	0	2600000.0	158	GR
2088	oAz8Y	{1074334749594634, 1077044939581784, 1077044939636682, 1074334749597307, 1074334749597390}	1074334749597307	0071 Broodvervangers	CHEESE	ambient	0	2600000.0	158	GR
2089	oAz8Y	{1074334749594634, 1077044939581784, 1077044939636682, 1074334749597307, 1074334749597390}	1077044939636682	0071 Broodvervangers	CHEESE	ambient	0	2600000.0	158	GR
2090	QKrwp	{1077044265589492, 1077044265613333, 1077044265077845, 1077044265077852, 1077044265613326}	1077044265077852	0180 Koffiemelk	KOFFIECUPS HALFVOL	ambient	0	336000.0	87.0	ST
2091	QKrwp	{1077044265589492, 1077044265613333, 1077044265077845, 1077044265077852, 1077044265613326}	1077044265589492	0180 Koffiemelk	KOFFIECUPS HALFVOL	ambient	0	336000.0	87.0	ST
2092	QKrwp	{1077044265589492, 1077044265613333, 1077044265077845, 1077044265077852, 1077044265613326}	1077044265613333	0180 Koffiemelk	KOFFIECUPS HALFVOL	ambient	0	336000.0	87.0	ST
2093	A4B1a	{1077044265087752, 1077044265630613, 1077044265630606}	1077044265630613	0102 Rookworst	GELDERSE ROOKWORST	ambient	0	630000.0	262.0	GR
2094	863mn	{1077044265630651, 1077044265630644, 1077044265081590}	1077044265630651	0102 Rookworst	GELDERSE ROOKWORST DUO	ambient	0	480000.0	220.0	GR
2095	Orkbz	{1077044265687976, 1077044265085833, 1077044265645822, 1077044265645815}	1077044265645822	0250 Toiletpapier	TOILETPAPIER 2 LAAGS	ambient	0	20923500.0	1883	ST
2096	oAzpY	{1077044265648601, 1077044265648618, 1077044265075971}	1077044265648618	0350 Chocoladedranken houdbaar	CHOCOMELK HALFVOL	ambient	0	1153125.0	1101.0	ML
2097	XvY7j	{1077044265647925, 1077044265647932, 1077044265074653}	1077044265647932	0170 Chips & sticks	CHIPS NATUREL	ambient	0	4522000.0	212	GR
